source_page,pais,localidad,departamento,provincia,argentina,bella vista,bella vista_2,corrientes,calle,numero,latitud,longitud,radio de cobertura (km),cordoba y 25 de mayo,s/n,-28.512372,-59.044944,1.638,col_1,-28.520477,-59.048652,1.794,sarmiento e/av j.romero y aviad.argüello,-27.510301,-58.556233,7.02,azimuth,angulo de apertura,60,70,130,67
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,SAUCE,SAUCE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,SAUCE,SAUCE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CURUZU CUATIA,CURUZU CUATIA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CURUZU CUATIA,CURUZU CUATIA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,PEDRO R. FERNANDEZ,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,SANTA LUCIA,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOBERNADOR JUAN E. MARTINEZ,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,LAGUNA BRAVA,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,RESISTENCIA,SAN FERNANDO,CHACO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,SAN LUIS DEL PALMAR,SAN LUIS DEL PALMAR,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,LAGUNA BRAVA,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,SALADAS,SALADAS,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SAUCE,SAUCE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SAUCE,SAUCE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SANTA LUCIA,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SANTA LUCIA,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PEDRO R. FERNANDEZ,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CHAVARRIA,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PERUGORRIA,CURUZU CUATIA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SAUCE,SAUCE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CURUZU CUATIA,CURUZU CUATIA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CURUZU CUATIA,CURUZU CUATIA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CURUZU CUATIA,CURUZU CUATIA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,MERCEDES,MERCEDES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PEDRO R. FERNANDEZ,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SALADAS,SALADAS,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SAN LORENZO,SALADAS,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,RIACHUELO,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,MERCEDES,MERCEDES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BONPLAND,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,MERCEDES,MERCEDES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BONPLAND,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BONPLAND,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,COLONIA LIBERTAD,MONTE CASEROS,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CHAVARRIA,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CHAVARRIA,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,LAVALLE,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SANTA LUCIA,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,RESISTENCIA,SAN FERNANDO,CHACO,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SAUCE,SAUCE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SAUCE,SAUCE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SAUCE,SAUCE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SAUCE,SAUCE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,MERCEDES,MERCEDES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BONPLAND,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CURUZU CUATIA,CURUZU CUATIA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CURUZU CUATIA,CURUZU CUATIA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SANTA LUCIA,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SANTA LUCIA,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SANTA LUCIA,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SANTA LUCIA,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,LAGUNA BRAVA,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CURUZU CUATIA,CURUZU CUATIA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,GOBERNADOR JUAN E. MARTINEZ,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SALADAS,SALADAS,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,RIACHUELO,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SANTA LUCIA,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SAN LORENZO,SALADAS,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PEDRO R. FERNANDEZ,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CURUZU CUATIA,CURUZU CUATIA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,CURUZU CUATIA,CURUZU CUATIA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,COLONIA LIBERTAD,MONTE CASEROS,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PEDRO R. FERNANDEZ,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,FELIPE YOFRE,MERCEDES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PEDRO R. FERNANDEZ,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PARADA PUCHETA,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Tacuari,500,-28.838936,-58.821370,2.106,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,s/n,-28.520477,-59.048652,9.126,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Calle p niveiro,730,-29.150703,-59.247809,3.51,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,s/n,-29.139648,-59.261661,9.126,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,s/n,-29.139648,-59.261661,2.106,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Calle p niveiro,730,-29.150703,-59.247809,2.106,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,s/n,-29.139648,-59.261661,7.02,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Pago largo y B. de Cepeda,S/N,-29.124208,-59.254762,7.956,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Tacuari,500,-28.838936,-58.821370,10.296,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Tacuari,500,-28.838936,-58.821370,35.2,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Cordoba y 25 de Mayo,S/N,-28.512372,-59.044944,6.05,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,s/n,-28.520477,-59.048652,3.51,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Tacuari,500,-28.838936,-58.821370,3.011,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Tacuari,500,-28.838936,-58.821370,15.807,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Tacuari,500,-28.838936,-58.821370,10.296,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Tacuari,500,-28.838936,-58.821370,20,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Moreno esquina Córdoba,S/N,-30.086138,-58.791895,3.042,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Moreno esquina Córdoba,S/N,-30.086138,-58.791895,7.956,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,D.HARDOY Y CHICLANA,S/N,-29.796389,-58.057778,3.51,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,D.HARDOY Y CHICLANA,S/N,-29.796389,-58.057778,1.404,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Ing Magno Tvethe,700,-28.752920,-58.656000,35.2,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Ruta Provincial Nro. 27,Km 902,-28.974181,-59.100953,9.126,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Calle belgrano,772,-28.911696,-58.936821,17.05,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Moreno Acuna,1100,-27.499811,-58.719477,4.914,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Av. Gobernador Ruiz Esq. Estados Unidos,S/N,-27.467838,-58.812733,2.106,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Avenida Lavalle,755,-27.439396,-58.986537,1.404,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Av. Gobernador Ruiz Esq. Estados Unidos,S/N,-27.467838,-58.812733,2.106,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Perú esquina Bolivar,S/N,-27.472235,-58.821673,2.106,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Perú esquina Bolivar,S/N,-27.472235,-58.821673,1.17,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Calle Gob. Rolon y Pampin,S/N,-27.461896,-58.822407,1.17,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Sarmiento e/Av J.Romero y Aviad.Argüello,S/N,-27.510301,-58.556233,7.02,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,RP 5 (intersección calle César Alvarez),Km 1,-27.486515,-58.770954,2.106,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,s/n,-27.480311,-58.796037,2.574,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,Ruta Nacional 12,Km 940,-28.246114,-58.703985,6.084,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Cordoba y 25 de Mayo,S/N,-28.512372,-59.044944,1.404,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Tacuari,500,-28.838936,-58.821370,16.559,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Tacuari,500,-28.838936,-58.821370,14.602,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Esq. Placido Martinez y Entre Rios,S/N,-29.708224,-57.101564,2.028,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Esq. Placido Martinez y Entre Rios,S/N,-29.708224,-57.101564,1.872,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Esq. Placido Martinez y Entre Rios,S/N,-29.708224,-57.101564,4.914,,,,,,,,,,,,,,
